activity_id,rep_id,doctor_id,product_id,meeting_date,calls,visits,samples_distributed,meeting_type,engagement_score
C00081,R047,D0578,P006,2024-01-22,4,2,2,Clinic Camp,0.957
C00082,R036,D0164,P006,2024-01-16,1,1,0,In-person,0.813
C00083,R063,D0585,P008,2024-01-22,4,2,3,Clinic Camp,1.091
C00084,R002,D0329,P005,2024-01-22,1,2,0,Virtual,0.674
C00085,R065,D0505,P008,2024-01-03,3,1,0,In-person,0.746
C00086,R055,D0154,P003,2024-01-26,3,2,4,Clinic Camp,0.98
C00087,R015,D0183,P007,2024-01-22,3,2,1,In-person,1.027
C00088,R033,D0717,P002,2024-01-07,1,2,2,In-person,0.822
C00089,R043,D0698,P008,2024-01-07,3,1,4,Clinic Camp,0.906
C00090,R070,D0042,P007,2024-01-30,3,2,3,In-person,0.997
C00091,R003,D0177,P006,2024-01-08,4,1,3,In-person,0.814
C00092,R031,D0543,P001,2024-01-02,2,2,3,In-person,0.99
C00093,R023,D0763,P004,2024-01-01,4,1,4,In-person,1.099
C00094,R023,D0519,P002,2024-01-08,3,2,4,In-person,1.075
C00095,R013,D0604,P008,2024-01-20,4,1,0,In-person,0.886
C00096,R049,D0299,P004,2024-01-15,4,2,6,In-person,1.047
C00097,R035,D0079,P007,2024-01-23,2,2,5,In-person,0.873
C00098,R062,D0653,P008,2024-01-08,2,1,2,In-person,0.725
C00099,R028,D0652,P001,2024-01-08,4,1,2,In-person,1.137
C00100,R071,D0340,P007,2024-01-13,4,2,5,In-person,1.094
C00101,R008,D0477,P003,2024-01-25,4,1,4,Virtual,1.064
C00102,R072,D0178,P001,2024-01-16,3,1,5,Clinic Camp,1.008
C00103,R031,D0459,P003,2024-01-24,3,2,3,In-person,1.005
C00104,R056,D0257,P005,2024-01-03,1,2,3,In-person,0.779
C00105,R017,D0452,P007,2024-01-13,2,1,3,In-person,0.875
C00106,R065,D0083,P006,2024-01-14,1,2,2,In-person,0.749
C00107,R024,D0493,P002,2024-01-03,4,1,5,Clinic Camp,1.058
C00108,R030,D0227,P003,2024-01-10,1,1,5,In-person,0.717
C00109,R027,D0656,P003,2024-01-09,4,1,0,Virtual,0.885
C00110,R066,D0405,P006,2024-01-15,4,1,0,In-person,0.885
C00111,R062,D0752,P005,2024-01-06,2,2,0,In-person,0.982
C00112,R030,D0189,P001,2024-01-09,3,1,2,In-person,0.691
C00113,R005,D0236,P001,2024-01-30,3,1,0,In-person,1.036
C00114,R061,D0150,P001,2024-01-05,3,2,3,In-person,0.93
C00115,R041,D0505,P008,2024-01-26,3,1,6,In-person,0.948
C00116,R037,D0036,P005,2024-01-17,2,2,4,In-person,0.975
C00117,R036,D0624,P004,2024-01-03,3,2,6,Clinic Camp,1.074
C00118,R009,D0765,P007,2024-01-13,4,1,1,Clinic Camp,1.005
C00119,R072,D0523,P002,2024-01-16,2,1,4,In-person,0.901
C00120,R059,D0093,P001,2024-01-09,2,1,5,Virtual,1.033
C00121,R068,D0511,P003,2024-01-09,2,2,3,In-person,0.983
C00122,R032,D0480,P002,2024-01-23,4,1,5,Virtual,1.001
C00123,R024,D0312,P007,2024-01-01,4,2,0,In-person,0.966
C00124,R065,D0462,P007,2024-01-29,2,1,4,Virtual,0.806
C00125,R070,D0637,P006,2024-01-10,4,2,5,In-person,1.203
C00126,R059,D0691,P008,2024-01-12,4,2,2,Clinic Camp,1.186
C00127,R066,D0244,P004,2024-01-04,2,1,1,Virtual,0.878
C00128,R050,D0261,P002,2024-01-28,4,1,0,Clinic Camp,0.667
C00129,R063,D0179,P003,2024-01-07,4,2,1,In-person,0.848
C00130,R061,D0270,P002,2024-01-25,4,1,5,Clinic Camp,1.009
C00131,R021,D0448,P008,2024-01-11,2,1,5,In-person,0.857
C00132,R011,D0600,P005,2024-01-01,1,1,4,In-person,0.784
C00133,R002,D0239,P007,2024-01-13,1,1,1,In-person,0.828
C00134,R064,D0309,P003,2024-01-17,4,2,1,In-person,1.124
C00135,R046,D0058,P006,2024-01-15,3,2,5,In-person,1.044
C00136,R031,D0144,P003,2024-01-31,3,1,4,Clinic Camp,0.8
C00137,R049,D0032,P004,2024-01-17,1,1,5,Clinic Camp,0.702
C00138,R052,D0200,P006,2024-01-25,4,1,2,In-person,0.961
C00139,R048,D0523,P008,2024-01-12,1,1,5,In-person,0.833
C00140,R005,D0720,P005,2024-01-05,3,2,3,In-person,0.897
C00141,R045,D0832,P006,2024-01-16,4,2,4,In-person,1.135
C00142,R016,D0478,P005,2024-01-18,1,1,5,Virtual,0.66
C00143,R022,D0392,P004,2024-01-13,3,1,2,In-person,0.673
C00144,R048,D0713,P008,2024-01-24,4,1,5,In-person,0.94
C00145,R038,D0110,P008,2024-01-30,2,1,4,In-person,0.962
C00146,R012,D0589,P003,2024-01-03,1,1,3,In-person,0.886
C00147,R001,D0679,P008,2024-01-03,2,1,5,In-person,0.742
C00148,R018,D0405,P004,2024-01-09,4,2,3,In-person,0.943
C00149,R014,D0198,P006,2024-01-19,3,1,5,In-person,1.001
C00150,R067,D0526,P005,2024-01-02,2,1,0,In-person,0.745
C00151,R010,D0823,P007,2024-01-07,3,2,6,In-person,1.157
C00152,R029,D0222,P007,2024-01-13,1,1,6,Clinic Camp,0.878
C00153,R055,D0536,P004,2024-01-12,2,2,6,In-person,1.051
C00154,R051,D0071,P006,2024-01-27,4,1,5,In-person,0.944
C00155,R002,D0201,P005,2024-01-17,2,1,4,In-person,0.888
C00156,R008,D0633,P007,2024-01-28,4,2,5,Virtual,1.261
C00157,R026,D0352,P002,2024-01-24,3,1,6,Virtual,0.969
C00158,R068,D0315,P006,2024-01-13,4,2,5,In-person,1.096
C00159,R027,D0226,P005,2024-01-31,3,1,1,In-person,0.833
C00160,R066,D0074,P004,2024-01-27,2,2,1,Virtual,0.76
C00161,R053,D0720,P003,2024-01-16,4,1,6,In-person,0.94
C00162,R037,D0782,P006,2024-01-27,2,1,0,In-person,0.709
C00163,R028,D0126,P003,2024-01-08,2,1,6,Virtual,0.756
C00164,R043,D0172,P001,2024-01-07,3,1,6,In-person,0.835
C00165,R001,D0760,P008,2024-01-25,4,2,0,In-person,0.814
C00166,R038,D0752,P004,2024-01-25,1,1,5,In-person,0.737
C00167,R051,D0671,P002,2024-01-07,4,1,4,Clinic Camp,1.046
C00168,R058,D0542,P002,2024-01-24,2,1,2,In-person,0.791
C00169,R044,D0722,P007,2024-01-16,2,2,3,In-person,0.899
C00170,R044,D0355,P003,2024-01-18,1,2,2,In-person,0.897
C00171,R015,D0767,P003,2024-01-27,1,1,5,In-person,0.935
C00172,R063,D0767,P004,2024-01-05,3,1,2,Clinic Camp,1.068
C00173,R070,D0174,P001,2024-01-13,3,1,0,In-person,0.862
C00174,R065,D0046,P005,2024-01-09,1,1,2,In-person,0.723
C00175,R034,D0362,P001,2024-01-18,4,1,3,In-person,0.941
C00176,R025,D0672,P007,2024-01-05,3,1,3,In-person,0.951
C00177,R024,D0620,P004,2024-01-04,1,1,3,In-person,0.751
C00178,R008,D0173,P002,2024-01-22,4,2,6,In-person,1.106
C00179,R050,D0326,P004,2024-01-02,1,2,2,Clinic Camp,0.829
C00180,R055,D0661,P002,2024-01-13,3,2,5,In-person,0.955
C00181,R004,D0045,P003,2024-01-31,3,2,6,In-person,0.861
C00182,R017,D0606,P002,2024-01-31,4,2,5,Clinic Camp,1.046
C00183,R046,D0228,P006,2024-01-06,4,2,3,In-person,1.181
C00184,R019,D0017,P008,2024-01-29,4,2,6,Virtual,1.231
C00185,R041,D0323,P004,2024-01-11,1,1,2,In-person,0.821
C00186,R046,D0590,P001,2024-01-07,2,1,1,In-person,0.759
C00187,R068,D0722,P001,2024-01-16,2,1,5,In-person,0.807
C00188,R019,D0024,P007,2024-01-16,2,2,6,In-person,1.108
C00189,R021,D0311,P003,2024-01-12,1,2,0,Clinic Camp,0.713
C00190,R019,D0140,P003,2024-01-14,1,1,2,In-person,0.749
C00191,R006,D0627,P001,2024-01-04,4,2,2,In-person,1.181
C00192,R003,D0671,P006,2024-01-09,4,1,5,Clinic Camp,1.02
C00193,R033,D0840,P001,2024-01-07,3,1,1,In-person,0.845
C00194,R028,D0285,P008,2024-01-29,3,2,4,In-person,1.105
C00195,R030,D0254,P002,2024-01-16,2,1,6,In-person,0.894
C00196,R033,D0277,P001,2024-01-17,3,1,6,Clinic Camp,0.974
C00197,R003,D0667,P006,2024-01-14,4,1,6,In-person,1.149
C00198,R027,D0383,P003,2024-01-28,2,1,3,Virtual,0.63
C00199,R013,D0015,P006,2024-01-25,3,1,4,In-person,0.951
C00200,R034,D0755,P001,2024-01-22,4,2,5,Virtual,1.039
C00201,R033,D0121,P007,2024-01-10,4,2,2,Virtual,1.029
C00202,R031,D0771,P003,2024-01-10,1,1,3,In-person,0.773
C00203,R063,D0141,P007,2024-01-30,1,1,3,In-person,0.71
C00204,R009,D0495,P008,2024-01-29,1,2,5,In-person,0.908
C00205,R045,D0234,P005,2024-01-09,1,2,3,In-person,0.885
C00206,R012,D0624,P003,2024-01-11,3,2,3,In-person,1.01
C00207,R042,D0368,P003,2024-01-11,2,2,3,In-person,0.933
C00208,R055,D0395,P006,2024-01-25,1,1,1,Virtual,0.719
C00209,R023,D0364,P001,2024-01-30,1,2,1,In-person,0.81
C00210,R032,D0817,P002,2024-01-28,3,2,5,In-person,1.036
C00211,R013,D0150,P006,2024-01-27,4,1,0,In-person,0.845
C00212,R066,D0195,P001,2024-01-11,3,2,4,In-person,1.114
C00213,R004,D0045,P003,2024-01-10,3,2,6,Clinic Camp,1.041
C00214,R062,D0602,P006,2024-01-28,1,1,4,In-person,0.75
C00215,R037,D0601,P003,2024-01-13,2,2,4,In-person,0.974
C00216,R056,D0517,P008,2024-01-07,4,1,5,In-person,1.001
C00217,R048,D0026,P008,2024-01-27,4,1,1,Virtual,1.037
C00218,R047,D0639,P001,2024-01-15,4,1,0,Virtual,0.992
C00219,R064,D0674,P002,2024-01-03,3,2,6,Clinic Camp,1.055
C00220,R069,D0807,P008,2024-01-28,2,1,2,In-person,0.891
C00221,R067,D0779,P001,2024-01-10,3,1,2,In-person,0.905
C00222,R040,D0331,P004,2024-01-10,4,2,1,In-person,0.936
C00223,R038,D0597,P008,2024-01-17,1,1,5,Virtual,0.871
C00224,R058,D0238,P005,2024-01-09,4,1,0,Virtual,0.768
C00225,R015,D0494,P003,2024-01-26,4,2,1,In-person,0.747
C00226,R055,D0350,P001,2024-01-22,4,1,1,In-person,0.994
C00227,R040,D0535,P004,2024-01-18,3,2,6,In-person,1.083
C00228,R015,D0814,P005,2024-01-07,2,1,6,In-person,0.918
C00229,R045,D0503,P001,2024-01-16,4,2,0,In-person,1.121
C00230,R022,D0802,P005,2024-01-09,1,1,0,In-person,0.708
C00231,R009,D0836,P004,2024-01-30,4,1,6,Clinic Camp,0.998
C00232,R054,D0136,P003,2024-01-25,2,1,4,In-person,0.916
C00233,R036,D0813,P008,2024-01-04,3,2,5,In-person,0.973
C00234,R017,D0630,P008,2024-01-17,2,2,3,In-person,0.905
C00235,R033,D0328,P006,2024-01-25,1,2,1,In-person,0.838
C00236,R003,D0594,P005,2024-01-17,4,2,5,In-person,1.127
C00237,R072,D0493,P004,2024-01-04,3,1,1,In-person,0.841
C00238,R059,D0687,P001,2024-01-05,3,1,0,In-person,0.811
C00239,R006,D0708,P003,2024-01-23,1,2,5,In-person,0.8
C00240,R058,D0069,P001,2024-01-17,4,1,2,Virtual,0.893
C00241,R030,D0006,P003,2024-01-17,4,1,0,Clinic Camp,1.066
C00242,R062,D0198,P004,2024-01-09,4,2,3,In-person,1.043
C00243,R069,D0386,P005,2024-01-09,1,1,0,In-person,0.725
C00244,R060,D0804,P003,2024-01-13,1,2,3,Clinic Camp,0.735
C00245,R020,D0636,P003,2024-01-17,2,2,4,In-person,1.147
C00246,R022,D0082,P006,2024-01-15,1,2,2,Virtual,0.767
C00247,R039,D0563,P002,2024-01-28,3,1,0,In-person,0.756
C00248,R039,D0374,P002,2024-01-06,2,2,6,In-person,0.973
C00249,R061,D0266,P006,2024-01-15,3,1,3,In-person,0.833
C00250,R039,D0585,P005,2024-01-08,4,2,0,Clinic Camp,1.039
C00251,R064,D0335,P007,2024-01-01,3,1,4,In-person,0.801
C00252,R035,D0555,P006,2024-01-13,2,1,6,In-person,0.979
C00253,R028,D0186,P008,2024-01-02,4,2,0,In-person,1.085
C00254,R021,D0248,P006,2024-01-12,2,1,5,Virtual,0.861
C00255,R014,D0473,P007,2024-01-20,4,1,2,Clinic Camp,0.824
C00256,R024,D0493,P002,2024-01-12,4,1,4,In-person,0.927
C00257,R041,D0725,P005,2024-01-22,4,1,0,In-person,0.925
C00258,R010,D0197,P008,2024-01-10,3,1,6,In-person,0.861
C00259,R052,D0728,P007,2024-01-13,2,1,6,In-person,0.804
C00260,R051,D0690,P004,2024-01-28,2,1,3,In-person,0.918
C00261,R063,D0235,P008,2024-01-08,3,1,1,In-person,0.88
C00262,R023,D0101,P003,2024-01-16,4,2,1,In-person,1.038
C00263,R042,D0211,P001,2024-01-23,4,1,4,Virtual,1.034
C00264,R014,D0549,P007,2024-01-12,3,1,5,In-person,0.927
C00265,R017,D0617,P004,2024-01-10,2,2,4,In-person,0.937
C00266,R019,D0526,P001,2024-01-22,2,2,3,Virtual,0.96
C00267,R003,D0656,P002,2024-01-03,1,2,5,In-person,0.955
C00268,R022,D0066,P001,2024-01-09,1,1,5,In-person,0.84
C00269,R050,D0375,P008,2024-01-13,1,2,2,In-person,0.953
C00270,R008,D0697,P007,2024-01-07,4,1,5,In-person,1.012
C00271,R002,D0326,P008,2024-01-17,3,2,1,Clinic Camp,0.85
C00272,R070,D0796,P002,2024-01-20,1,2,5,In-person,0.977
C00273,R006,D0136,P007,2024-01-30,3,1,3,Virtual,0.884
C00274,R057,D0841,P005,2024-01-19,1,2,5,In-person,0.829
C00275,R058,D0575,P003,2024-01-19,2,1,4,In-person,0.909
C00276,R006,D0591,P006,2024-01-23,2,1,0,Clinic Camp,0.81
C00277,R001,D0573,P008,2024-01-07,1,2,5,In-person,0.788
C00278,R067,D0779,P004,2024-01-15,3,2,5,In-person,1.084
C00279,R034,D0231,P001,2024-01-26,1,1,0,In-person,0.86
C00280,R048,D0097,P007,2024-01-06,2,2,1,In-person,0.914
C00281,R043,D0779,P002,2024-01-10,2,2,5,In-person,0.94
C00282,R005,D0090,P002,2024-01-07,3,2,2,In-person,0.842
C00283,R026,D0662,P005,2024-01-30,1,1,0,In-person,0.874
C00284,R022,D0176,P007,2024-01-11,2,2,5,In-person,0.919
C00285,R016,D0787,P007,2024-01-11,4,2,3,In-person,0.951
C00286,R049,D0849,P007,2024-01-26,2,1,2,In-person,0.825
C00287,R013,D0308,P008,2024-01-29,4,1,3,In-person,1.055
C00288,R029,D0466,P002,2024-01-01,2,2,2,In-person,1.005
C00289,R035,D0420,P003,2024-01-28,4,1,0,Virtual,0.866
C00290,R024,D0348,P006,2024-01-22,1,1,3,In-person,0.756
C00291,R024,D0729,P004,2024-01-27,4,2,6,Virtual,1.118
C00292,R053,D0236,P006,2024-01-03,2,1,6,Clinic Camp,0.966
C00293,R034,D0778,P004,2024-01-02,4,1,4,In-person,1.039
C00294,R057,D0629,P004,2024-01-11,3,1,1,In-person,0.89
C00295,R060,D0813,P001,2024-01-27,3,1,1,In-person,0.941
C00296,R010,D0423,P005,2024-01-16,1,2,2,In-person,0.727
C00297,R035,D0691,P007,2024-01-23,3,1,0,Clinic Camp,0.884
C00298,R051,D0432,P007,2024-01-08,3,1,0,In-person,0.868
C00299,R010,D0306,P003,2024-01-11,4,1,5,Clinic Camp,1.006
C00300,R051,D0192,P006,2024-01-28,2,1,3,In-person,0.814
C00301,R057,D0181,P002,2024-01-16,3,2,5,In-person,1.041
C00302,R018,D0025,P006,2024-01-25,1,1,0,In-person,0.664
C00303,R007,D0395,P004,2024-01-20,2,2,0,In-person,1.088
C00304,R023,D0850,P008,2024-01-06,2,2,4,In-person,1.051
C00305,R042,D0750,P006,2024-01-30,1,2,1,In-person,0.905
C00306,R054,D0627,P001,2024-01-30,4,1,1,In-person,0.896
C00307,R067,D0334,P007,2024-01-25,3,2,4,In-person,0.935
C00308,R015,D0387,P006,2024-01-15,1,1,6,In-person,0.801
C00309,R065,D0606,P002,2024-01-14,4,2,2,In-person,1.055
C00310,R054,D0006,P003,2024-01-10,3,2,5,In-person,0.914
C00311,R016,D0787,P002,2024-01-21,3,1,2,Virtual,0.924
C00312,R013,D0701,P003,2024-01-10,4,1,5,In-person,1.097
C00313,R004,D0783,P008,2024-01-06,2,2,2,In-person,0.727
C00314,R060,D0139,P008,2024-01-02,2,1,1,Clinic Camp,0.726
C00315,R053,D0828,P005,2024-01-14,3,2,3,Virtual,1.092
C00316,R022,D0464,P003,2024-01-26,4,1,2,In-person,0.986
C00317,R054,D0544,P003,2024-01-25,4,1,1,In-person,0.869
C00318,R007,D0232,P008,2024-01-27,4,2,1,In-person,1.087
C00319,R072,D0389,P002,2024-01-19,4,2,2,Clinic Camp,0.998
C00320,R038,D0325,P007,2024-01-27,1,2,0,In-person,0.781
C00321,R056,D0834,P008,2024-01-25,2,2,0,In-person,0.779
C00322,R004,D0278,P007,2024-01-26,2,2,4,Clinic Camp,0.943
C00323,R059,D0240,P006,2024-01-16,2,1,0,In-person,0.861
C00324,R044,D0805,P008,2024-01-03,4,1,5,In-person,0.972
C00325,R058,D0111,P002,2024-01-12,2,2,6,Virtual,1.03
C00326,R008,D0705,P008,2024-01-27,4,2,1,In-person,1.024
C00327,R038,D0776,P001,2024-01-24,4,1,0,Virtual,1.006
C00328,R054,D0254,P001,2024-01-01,2,1,1,Clinic Camp,0.761
C00329,R021,D0518,P002,2024-01-03,1,1,0,In-person,0.834
C00330,R020,D0684,P005,2024-01-21,3,2,1,In-person,1.013
C00331,R031,D0476,P002,2024-01-31,4,1,6,In-person,1.048
C00332,R023,D0571,P006,2024-01-23,2,2,5,In-person,0.982
C00333,R052,D0128,P001,2024-01-30,1,2,6,In-person,0.871
C00334,R064,D0438,P006,2024-01-03,3,1,5,In-person,0.898
C00335,R001,D0488,P002,2024-01-28,4,1,5,In-person,1.031
C00336,R071,D0472,P005,2024-01-04,3,1,4,Clinic Camp,0.826
C00337,R011,D0785,P001,2024-01-28,2,1,0,In-person,0.732
C00338,R053,D0735,P008,2024-01-31,2,2,5,In-person,0.885
C00339,R072,D0493,P004,2024-01-16,3,1,4,In-person,0.968
C00340,R033,D0324,P005,2024-01-17,2,2,6,Clinic Camp,1.025
C00341,R009,D0324,P004,2024-01-16,3,1,4,In-person,1.023
C00342,R046,D0042,P005,2024-01-18,4,1,3,In-person,0.947
C00343,R027,D0564,P004,2024-01-26,4,2,5,Clinic Camp,1.035
C00344,R001,D0219,P001,2024-01-09,4,1,4,In-person,0.874
C00345,R059,D0741,P007,2024-01-09,4,1,0,In-person,0.942
C00346,R046,D0650,P006,2024-01-31,4,1,4,In-person,1.104
C00347,R020,D0774,P003,2024-01-27,1,1,2,Virtual,0.74
C00348,R041,D0818,P001,2024-01-17,2,2,1,In-person,0.89
C00349,R070,D0351,P008,2024-01-07,2,1,1,In-person,0.798
C00350,R047,D0327,P003,2024-01-30,4,1,5,In-person,1.03
C00351,R037,D0416,P008,2024-01-28,1,1,4,In-person,0.862
C00352,R039,D0332,P007,2024-01-11,4,1,0,In-person,1.074
C00353,R037,D0209,P008,2024-01-17,3,1,2,In-person,0.926
C00354,R005,D0678,P006,2024-01-14,1,2,4,Virtual,0.917
C00355,R064,D0400,P002,2024-01-27,3,2,3,In-person,0.975
C00356,R049,D0819,P001,2024-01-22,2,1,5,In-person,0.861
C00357,R009,D0207,P002,2024-01-16,2,1,4,In-person,0.842
C00358,R007,D0459,P004,2024-01-31,4,1,0,In-person,0.891
C00359,R062,D0469,P005,2024-01-19,4,1,6,In-person,1.038
C00360,R034,D0734,P008,2024-01-16,4,1,3,In-person,1.024
C00361,R002,D0582,P002,2024-01-29,2,1,6,Clinic Camp,0.893
C00362,R025,D0033,P006,2024-01-14,3,1,1,Clinic Camp,0.846
C00363,R027,D0226,P001,2024-01-13,2,2,4,In-person,0.952
C00364,R056,D0697,P004,2024-01-13,3,2,0,Clinic Camp,0.863
C00365,R070,D0176,P001,2024-01-07,2,1,1,In-person,0.862
C00366,R001,D0294,P003,2024-01-09,3,1,6,In-person,0.925
C00367,R058,D0104,P005,2024-01-03,3,2,6,In-person,0.956
C00368,R014,D0597,P006,2024-01-23,2,2,6,Clinic Camp,1.015
C00369,R006,D0136,P007,2024-01-19,1,2,1,In-person,0.859
C00370,R045,D0248,P005,2024-01-29,1,1,6,In-person,0.749
C00371,R052,D0560,P003,2024-01-19,4,1,0,Virtual,0.97
C00372,R032,D0705,P008,2024-01-03,4,2,2,In-person,1.097
C00373,R005,D0222,P008,2024-01-20,3,1,3,Virtual,1.062
C00374,R007,D0350,P008,2024-01-06,1,1,5,Clinic Camp,0.781
C00375,R012,D0139,P007,2024-01-02,3,2,4,In-person,1.008
C00376,R014,D0381,P007,2024-01-21,2,1,2,In-person,0.767
C00377,R067,D0799,P001,2024-01-01,1,1,1,In-person,0.767
C00378,R018,D0244,P005,2024-01-13,2,2,2,In-person,0.906
C00379,R052,D0245,P004,2024-01-28,4,2,2,Clinic Camp,1.125
C00380,R069,D0283,P003,2024-01-08,4,1,4,In-person,0.957
C00381,R060,D0806,P001,2024-01-22,4,2,0,In-person,1.048
C00382,R029,D0497,P002,2024-01-12,1,1,2,In-person,0.727
C00383,R040,D0529,P008,2024-01-04,3,1,4,In-person,0.775
C00384,R068,D0684,P008,2024-01-07,3,2,4,In-person,1.062
C00385,R036,D0648,P006,2024-01-03,2,2,4,In-person,0.802
C00386,R041,D0491,P001,2024-01-05,2,1,2,Clinic Camp,0.803
C00387,R021,D0455,P006,2024-01-06,2,1,3,In-person,0.822
C00388,R032,D0480,P002,2024-01-28,1,2,0,In-person,0.799
