incentive_id,rep_id,month,target_revenue,actual_revenue,achievement_pct,bonus,performance_band
I00026,R002,2024-02-01,139879.73,47752.18,34.14,0.0,Below Target
I00027,R002,2024-03-01,143576.58,63975.83,44.56,0.0,Below Target
I00028,R002,2024-04-01,146863.97,63880.59,43.5,0.0,Below Target
I00029,R002,2024-05-01,146652.85,40587.25,27.68,0.0,Below Target
I00030,R002,2024-06-01,166355.03,45365.69,27.27,0.0,Below Target
I00031,R002,2024-07-01,160438.17,96690.11,60.27,0.0,Below Target
I00032,R002,2024-08-01,173052.01,77319.04,44.68,0.0,Below Target
I00033,R002,2024-09-01,159733.95,46525.57,29.13,0.0,Below Target
I00034,R002,2024-10-01,166199.09,73717.21,44.35,0.0,Below Target
I00035,R002,2024-11-01,184285.63,56359.25,30.58,0.0,Below Target
I00036,R002,2024-12-01,182569.76,72259.67,39.58,0.0,Below Target
I00037,R002,2025-01-01,133882.89,57065.54,42.62,0.0,Below Target
I00038,R002,2025-02-01,145560.65,52803.770000000004,36.28,0.0,Below Target
I00039,R002,2025-03-01,145553.55,45535.65,31.28,0.0,Below Target
I00040,R002,2025-04-01,154298.75,62871.01,40.75,0.0,Below Target
I00041,R002,2025-05-01,159960.34,65587.79000000001,41.0,0.0,Below Target
I00042,R002,2025-06-01,161027.56,83728.42,52.0,0.0,Below Target
I00043,R002,2025-07-01,166094.07,70548.97,42.48,0.0,Below Target
I00044,R002,2025-08-01,164592.95,61805.630000000005,37.55,0.0,Below Target
I00045,R002,2025-09-01,157278.7,73355.81,46.64,0.0,Below Target
I00046,R002,2025-10-01,163016.69,52466.68,32.18,0.0,Below Target
I00047,R002,2025-11-01,166752.32,66737.77,40.02,0.0,Below Target
I00048,R002,2025-12-01,177446.48,81462.84,45.91,0.0,Below Target
I00049,R003,2024-01-01,184226.45,63662.56,34.56,0.0,Below Target
I00050,R003,2024-02-01,200641.76,74184.34,36.97,0.0,Below Target
I00051,R003,2024-03-01,219963.69,86441.49,39.3,0.0,Below Target
I00052,R003,2024-04-01,211896.13,78505.1,37.05,0.0,Below Target
I00053,R003,2024-05-01,228841.09,85775.18,37.48,0.0,Below Target
I00054,R003,2024-06-01,215991.03,110512.73,51.17,0.0,Below Target
I00055,R003,2024-07-01,225026.71,90923.67,40.41,0.0,Below Target
I00056,R003,2024-08-01,222751.46,97068.92,43.58,0.0,Below Target
I00057,R003,2024-09-01,221159.44,96407.19,43.59,0.0,Below Target
I00058,R003,2024-10-01,224766.1,85156.43,37.89,0.0,Below Target
I00059,R003,2024-11-01,247866.6,108972.68,43.96,0.0,Below Target
I00060,R003,2024-12-01,256610.68,131730.6,51.33,0.0,Below Target
I00061,R003,2025-01-01,190526.76,79746.77,41.86,0.0,Below Target
I00062,R003,2025-02-01,191001.58,93708.44,49.06,0.0,Below Target
I00063,R003,2025-03-01,192083.7,92194.9,48.0,0.0,Below Target
I00064,R003,2025-04-01,208091.98,85966.9,41.31,0.0,Below Target
I00065,R003,2025-05-01,224591.97,82241.09,36.62,0.0,Below Target
I00066,R003,2025-06-01,206478.62,85459.62,41.39,0.0,Below Target
I00067,R003,2025-07-01,212014.76,127274.17,60.03,0.0,Below Target
I00068,R003,2025-08-01,221597.45,87123.54,39.32,0.0,Below Target
I00069,R003,2025-09-01,208661.19,99434.64,47.65,0.0,Below Target
I00070,R003,2025-10-01,259894.53,115436.37,44.42,0.0,Below Target
I00071,R003,2025-11-01,242894.74,68782.16,28.32,0.0,Below Target
I00072,R003,2025-12-01,248830.92,112428.06,45.18,0.0,Below Target
I00073,R004,2024-01-01,183916.49,61123.51,33.23,0.0,Below Target
I00074,R004,2024-02-01,181175.76,71276.97,39.34,0.0,Below Target
I00075,R004,2024-03-01,190549.29,102388.5,53.73,0.0,Below Target
I00076,R004,2024-04-01,211311.31,99518.8,47.1,0.0,Below Target
I00077,R004,2024-05-01,185795.58,91124.34,49.05,0.0,Below Target
I00078,R004,2024-06-01,198524.83,93511.48,47.1,0.0,Below Target
I00079,R004,2024-07-01,214783.53,83690.73,38.97,0.0,Below Target
I00080,R004,2024-08-01,200442.18,85433.87,42.62,0.0,Below Target
I00081,R004,2024-09-01,192987.13,88103.07,45.65,0.0,Below Target
I00082,R004,2024-10-01,221212.47,92200.21,41.68,0.0,Below Target
I00083,R004,2024-11-01,217647.07,100344.28,46.1,0.0,Below Target
I00084,R004,2024-12-01,238635.44,75753.91,31.74,0.0,Below Target
I00085,R004,2025-01-01,174115.53,86246.63,49.53,0.0,Below Target
I00086,R004,2025-02-01,184175.86,80141.66,43.51,0.0,Below Target
I00087,R004,2025-03-01,190444.82,89589.16,47.04,0.0,Below Target
I00088,R004,2025-04-01,203518.23,94804.84,46.58,0.0,Below Target
I00089,R004,2025-05-01,210372.28,86552.53,41.14,0.0,Below Target
I00090,R004,2025-06-01,200714.8,94340.77,47.0,0.0,Below Target
I00091,R004,2025-07-01,196724.69,78372.22,39.84,0.0,Below Target
I00092,R004,2025-08-01,207234.59,92089.64,44.44,0.0,Below Target
I00093,R004,2025-09-01,196049.95,114261.29,58.28,0.0,Below Target
I00094,R004,2025-10-01,207990.36,102716.95999999999,49.39,0.0,Below Target
I00095,R004,2025-11-01,208148.81,100834.58,48.44,0.0,Below Target
I00096,R004,2025-12-01,231282.21,89169.76,38.55,0.0,Below Target
I00097,R005,2024-01-01,173673.13,62552.93,36.02,0.0,Below Target
I00098,R005,2024-02-01,174801.96,61126.32,34.97,0.0,Below Target
I00099,R005,2024-03-01,188084.05,94561.01999999999,50.28,0.0,Below Target
I00100,R005,2024-04-01,199163.35,84056.7,42.2,0.0,Below Target
I00101,R005,2024-05-01,211096.25,61422.78,29.1,0.0,Below Target
I00102,R005,2024-06-01,216034.81,102534.12,47.46,0.0,Below Target
I00103,R005,2024-07-01,201918.87,83516.34,41.36,0.0,Below Target
I00104,R005,2024-08-01,199259.73,97496.3,48.93,0.0,Below Target
I00105,R005,2024-09-01,186937.57,85310.08,45.64,0.0,Below Target
I00106,R005,2024-10-01,217958.9,79408.85,36.43,0.0,Below Target
I00107,R005,2024-11-01,222113.16,84410.72,38.0,0.0,Below Target
I00108,R005,2024-12-01,244962.1,77649.55,31.7,0.0,Below Target
I00109,R005,2025-01-01,174634.59,72151.9,41.32,0.0,Below Target
I00110,R005,2025-02-01,175042.77,113341.77,64.75,0.0,Below Target
I00111,R005,2025-03-01,188088.43,131263.72999999998,69.79,0.0,Below Target
I00112,R005,2025-04-01,192424.67,64603.630000000005,33.57,0.0,Below Target
I00113,R005,2025-05-01,194015.09,91741.52,47.29,0.0,Below Target
I00114,R005,2025-06-01,204226.55,91735.11,44.92,0.0,Below Target
I00115,R005,2025-07-01,200048.5,79984.73,39.98,0.0,Below Target
I00116,R005,2025-08-01,216836.62,81597.75,37.63,0.0,Below Target
I00117,R005,2025-09-01,184252.37,88925.91,48.26,0.0,Below Target
I00118,R005,2025-10-01,221225.38,93822.98,42.41,0.0,Below Target
I00119,R005,2025-11-01,216060.11,114007.99,52.77,0.0,Below Target
I00120,R005,2025-12-01,204866.76,127961.88,62.46,0.0,Below Target
I00121,R006,2024-01-01,150237.1,59231.25,39.43,0.0,Below Target
I00122,R006,2024-02-01,166726.68,88251.78,52.93,0.0,Below Target
I00123,R006,2024-03-01,172995.37,69192.54,40.0,0.0,Below Target
I00124,R006,2024-04-01,184201.57,66207.4,35.94,0.0,Below Target
I00125,R006,2024-05-01,183351.13,72064.93,39.3,0.0,Below Target
I00126,R006,2024-06-01,194434.44,67340.8,34.63,0.0,Below Target
I00127,R006,2024-07-01,193643.47,67759.06,34.99,0.0,Below Target
I00128,R006,2024-08-01,196797.45,84508.52,42.94,0.0,Below Target
I00129,R006,2024-09-01,191168.82,63653.950000000004,33.3,0.0,Below Target
I00130,R006,2024-10-01,201079.41,67807.18000000001,33.72,0.0,Below Target
I00131,R006,2024-11-01,203427.66,122396.36,60.17,0.0,Below Target
I00132,R006,2024-12-01,228749.81,79868.97,34.92,0.0,Below Target
I00133,R006,2025-01-01,161451.4,65493.770000000004,40.57,0.0,Below Target
I00134,R006,2025-02-01,162306.45,47465.03,29.24,0.0,Below Target
I00135,R006,2025-03-01,172969.62,93090.70999999999,53.82,0.0,Below Target
I00136,R006,2025-04-01,184041.62,50455.060000000005,27.42,0.0,Below Target
I00137,R006,2025-05-01,193962.26,91972.73999999999,47.42,0.0,Below Target
I00138,R006,2025-06-01,195108.33,80853.55,41.44,0.0,Below Target
I00139,R006,2025-07-01,198744.75,125452.51999999999,63.12,0.0,Below Target
I00140,R006,2025-08-01,188968.99,98487.03,52.12,0.0,Below Target
I00141,R006,2025-09-01,192792.41,85865.03,44.54,0.0,Below Target
I00142,R006,2025-10-01,197133.71,60962.83,30.92,0.0,Below Target
I00143,R006,2025-11-01,201399.16,90756.98000000001,45.06,0.0,Below Target
I00144,R006,2025-12-01,199898.59,68721.26000000001,34.38,0.0,Below Target
I00145,R007,2024-01-01,171261.53,76077.77,44.42,0.0,Below Target
I00146,R007,2024-02-01,168619.71,69245.47,41.07,0.0,Below Target
I00147,R007,2024-03-01,173850.87,100687.06,57.92,0.0,Below Target
I00148,R007,2024-04-01,177620.77,78147.74,44.0,0.0,Below Target
I00149,R007,2024-05-01,199555.1,100935.72,50.58,0.0,Below Target
I00150,R007,2024-06-01,197634.83,78943.51,39.94,0.0,Below Target
I00151,R007,2024-07-01,204029.38,81333.44,39.86,0.0,Below Target
I00152,R007,2024-08-01,196383.62,122372.13,62.31,0.0,Below Target
I00153,R007,2024-09-01,191142.19,77107.08,40.34,0.0,Below Target
I00154,R007,2024-10-01,203212.03,86630.45999999999,42.63,0.0,Below Target
I00155,R007,2024-11-01,202764.05,104580.19,51.58,0.0,Below Target
I00156,R007,2024-12-01,230844.76,106965.86,46.34,0.0,Below Target
I00157,R007,2025-01-01,161469.69,89119.5,55.19,0.0,Below Target
I00158,R007,2025-02-01,168923.1,73833.55,43.71,0.0,Below Target
I00159,R007,2025-03-01,184438.31,88711.03,48.1,0.0,Below Target
I00160,R007,2025-04-01,194957.82,72300.58,37.09,0.0,Below Target
I00161,R007,2025-05-01,187884.9,75696.4,40.29,0.0,Below Target
I00162,R007,2025-06-01,202272.09,79936.64,39.52,0.0,Below Target
I00163,R007,2025-07-01,202555.53,101229.57,49.98,0.0,Below Target
I00164,R007,2025-08-01,196358.16,81885.86,41.7,0.0,Below Target
I00165,R007,2025-09-01,190193.32,94963.42,49.93,0.0,Below Target
I00166,R007,2025-10-01,202785.87,75581.87,37.27,0.0,Below Target
I00167,R007,2025-11-01,214593.44,68366.49,31.86,0.0,Below Target
I00168,R007,2025-12-01,233853.3,94890.97,40.58,0.0,Below Target
I00169,R008,2024-01-01,191064.5,74228.64,38.85,0.0,Below Target
I00170,R008,2024-02-01,192892.05,66202.27,34.32,0.0,Below Target
I00171,R008,2024-03-01,201577.76,105193.70999999999,52.19,0.0,Below Target
I00172,R008,2024-04-01,212636.0,91470.11,43.02,0.0,Below Target
I00173,R008,2024-05-01,213466.78,60022.770000000004,28.12,0.0,Below Target
I00174,R008,2024-06-01,205935.65,90362.87,43.88,0.0,Below Target
I00175,R008,2024-07-01,236162.06,84789.75,35.9,0.0,Below Target
I00176,R008,2024-08-01,222619.25,88514.08,39.76,0.0,Below Target
I00177,R008,2024-09-01,213996.91,90284.82,42.19,0.0,Below Target
I00178,R008,2024-10-01,242327.44,75952.58,31.34,0.0,Below Target
I00179,R008,2024-11-01,235252.65,103929.69,44.18,0.0,Below Target
I00180,R008,2024-12-01,256799.88,86790.03,33.8,0.0,Below Target
I00181,R008,2025-01-01,188825.92,74213.47,39.3,0.0,Below Target
I00182,R008,2025-02-01,197706.05,88769.88,44.9,0.0,Below Target
I00183,R008,2025-03-01,200378.33,87699.78,43.77,0.0,Below Target
I00184,R008,2025-04-01,219083.78,82429.09,37.62,0.0,Below Target
I00185,R008,2025-05-01,233057.27,97641.94,41.9,0.0,Below Target
I00186,R008,2025-06-01,213394.26,113999.68,53.42,0.0,Below Target
I00187,R008,2025-07-01,232669.05,103759.92,44.6,0.0,Below Target
I00188,R008,2025-08-01,224836.62,58651.549999999996,26.09,0.0,Below Target
I00189,R008,2025-09-01,218718.7,86337.48999999999,39.47,0.0,Below Target
I00190,R008,2025-10-01,234182.22,130638.17,55.78,0.0,Below Target
I00191,R008,2025-11-01,228141.61,101009.25,44.27,0.0,Below Target
I00192,R008,2025-12-01,244507.64,124168.39,50.78,0.0,Below Target
I00193,R009,2024-01-01,195251.45,83697.22,42.87,0.0,Below Target
I00194,R009,2024-02-01,213564.63,62521.47,29.28,0.0,Below Target
I00195,R009,2024-03-01,211714.77,94659.96,44.71,0.0,Below Target
I00196,R009,2024-04-01,224881.87,80397.95,35.75,0.0,Below Target
I00197,R009,2024-05-01,227686.0,71571.27,31.43,0.0,Below Target
I00198,R009,2024-06-01,232092.61,77236.75,33.28,0.0,Below Target
I00199,R009,2024-07-01,237184.17,72608.15,30.61,0.0,Below Target
I00200,R009,2024-08-01,225996.74,114127.32,50.5,0.0,Below Target
I00201,R009,2024-09-01,223647.49,93256.14,41.7,0.0,Below Target
I00202,R009,2024-10-01,236106.82,96087.28,40.7,0.0,Below Target
I00203,R009,2024-11-01,250179.67,111468.53,44.56,0.0,Below Target
I00204,R009,2024-12-01,256457.12,113380.54,44.21,0.0,Below Target
I00205,R009,2025-01-01,211497.78,59639.18,28.2,0.0,Below Target
I00206,R009,2025-02-01,189703.85,102951.72,54.27,0.0,Below Target
I00207,R009,2025-03-01,199963.48,67760.8,33.89,0.0,Below Target
I00208,R009,2025-04-01,224518.22,113391.23000000001,50.5,0.0,Below Target
I00209,R009,2025-05-01,234664.26,66173.26,28.2,0.0,Below Target
I00210,R009,2025-06-01,246339.39,89162.84,36.2,0.0,Below Target
I00211,R009,2025-07-01,233283.11,130693.76,56.02,0.0,Below Target
I00212,R009,2025-08-01,233646.2,109933.2,47.05,0.0,Below Target
I00213,R009,2025-09-01,229546.06,99583.02,43.38,0.0,Below Target
I00214,R009,2025-10-01,253487.13,116253.11,45.86,0.0,Below Target
I00215,R009,2025-11-01,237608.71,137155.37,57.72,0.0,Below Target
I00216,R009,2025-12-01,265651.2,74583.87,28.08,0.0,Below Target
I00217,R010,2024-01-01,191604.7,79737.57,41.62,0.0,Below Target
I00218,R010,2024-02-01,190335.9,97063.04000000001,51.0,0.0,Below Target
I00219,R010,2024-03-01,206586.86,102931.43,49.82,0.0,Below Target
I00220,R010,2024-04-01,204034.4,94014.45999999999,46.08,0.0,Below Target
I00221,R010,2024-05-01,225762.39,86387.55,38.26,0.0,Below Target
I00222,R010,2024-06-01,203839.6,54697.380000000005,26.83,0.0,Below Target
I00223,R010,2024-07-01,221048.15,80006.5,36.19,0.0,Below Target
I00224,R010,2024-08-01,226375.73,98019.62,43.3,0.0,Below Target
I00225,R010,2024-09-01,210760.38,89165.31999999999,42.31,0.0,Below Target
I00226,R010,2024-10-01,235205.38,111369.89,47.35,0.0,Below Target
I00227,R010,2024-11-01,238251.3,116936.5,49.08,0.0,Below Target
I00228,R010,2024-12-01,252780.2,105318.24,41.66,0.0,Below Target
I00229,R010,2025-01-01,191042.3,90849.33,47.55,0.0,Below Target
I00230,R010,2025-02-01,192507.69,71556.01000000001,37.17,0.0,Below Target
I00231,R010,2025-03-01,189620.4,80789.51,42.61,0.0,Below Target
I00232,R010,2025-04-01,223818.51,106945.4,47.78,0.0,Below Target
I00233,R010,2025-05-01,227021.45,89572.09999999999,39.46,0.0,Below Target
I00234,R010,2025-06-01,225659.7,112871.75,50.02,0.0,Below Target
I00235,R010,2025-07-01,220132.31,95719.52,43.48,0.0,Below Target
I00236,R010,2025-08-01,225299.47,106948.57,47.47,0.0,Below Target
I00237,R010,2025-09-01,198493.63,99091.86,49.92,0.0,Below Target
I00238,R010,2025-10-01,213215.79,96187.93,45.11,0.0,Below Target
I00239,R010,2025-11-01,260489.56,79926.06,30.68,0.0,Below Target
I00240,R010,2025-12-01,237385.06,114218.55,48.12,0.0,Below Target
I00241,R011,2024-01-01,159140.35,55686.590000000004,34.99,0.0,Below Target
I00242,R011,2024-02-01,167308.58,61687.66,36.87,0.0,Below Target
I00243,R011,2024-03-01,177519.29,84280.62,47.48,0.0,Below Target
I00244,R011,2024-04-01,180350.96,43504.06,24.12,0.0,Below Target
I00245,R011,2024-05-01,182866.65,68130.93,37.26,0.0,Below Target
I00246,R011,2024-06-01,188343.09,109026.77,57.89,0.0,Below Target
I00247,R011,2024-07-01,201370.97,74294.41,36.89,0.0,Below Target
I00248,R011,2024-08-01,195736.85,60998.119999999995,31.16,0.0,Below Target
I00249,R011,2024-09-01,188874.54,70955.79000000001,37.57,0.0,Below Target
I00250,R011,2024-10-01,180907.42,63472.560000000005,35.09,0.0,Below Target
I00251,R011,2024-11-01,209181.81,96857.19,46.3,0.0,Below Target
I00252,R011,2024-12-01,216471.67,97830.98999999999,45.19,0.0,Below Target
I00253,R011,2025-01-01,157000.4,90517.38,57.65,0.0,Below Target
I00254,R011,2025-02-01,178601.35,56642.63,31.71,0.0,Below Target
I00255,R011,2025-03-01,164817.62,65439.759999999995,39.7,0.0,Below Target
I00256,R011,2025-04-01,180109.68,48901.8,27.15,0.0,Below Target
I00257,R011,2025-05-01,194385.6,71126.9,36.59,0.0,Below Target
I00258,R011,2025-06-01,190291.13,79553.21,41.81,0.0,Below Target
I00259,R011,2025-07-01,177498.59,87218.75,49.14,0.0,Below Target
I00260,R011,2025-08-01,201863.71,76847.63,38.07,0.0,Below Target
I00261,R011,2025-09-01,171340.31,79168.12,46.21,0.0,Below Target
I00262,R011,2025-10-01,186727.32,87052.1,46.62,0.0,Below Target
I00263,R011,2025-11-01,212793.43,106831.4,50.2,0.0,Below Target
I00264,R011,2025-12-01,207074.97,85528.86,41.3,0.0,Below Target
I00265,R012,2024-01-01,164258.58,82468.03,50.21,0.0,Below Target
I00266,R012,2024-02-01,164688.97,79163.13,48.07,0.0,Below Target
I00267,R012,2024-03-01,180907.92,95660.55,52.88,0.0,Below Target
I00268,R012,2024-04-01,194696.27,71179.94,36.56,0.0,Below Target
I00269,R012,2024-05-01,179139.92,106946.95,59.7,0.0,Below Target
I00270,R012,2024-06-01,196713.73,80539.34,40.94,0.0,Below Target
I00271,R012,2024-07-01,184763.9,87142.42,47.16,0.0,Below Target
I00272,R012,2024-08-01,213139.23,61429.130000000005,28.82,0.0,Below Target
I00273,R012,2024-09-01,182425.31,47225.96,25.89,0.0,Below Target
I00274,R012,2024-10-01,206579.11,65910.52,31.91,0.0,Below Target
I00275,R012,2024-11-01,213527.62,93536.75,43.81,0.0,Below Target
I00276,R012,2024-12-01,223078.63,100957.88,45.26,0.0,Below Target
I00277,R012,2025-01-01,163041.45,62234.759999999995,38.17,0.0,Below Target
I00278,R012,2025-02-01,161983.68,67028.67,41.38,0.0,Below Target
I00279,R012,2025-03-01,191022.05,59191.630000000005,30.99,0.0,Below Target
I00280,R012,2025-04-01,178789.13,72497.08,40.55,0.0,Below Target
I00281,R012,2025-05-01,190308.59,72199.26000000001,37.94,0.0,Below Target
I00282,R012,2025-06-01,192119.46,79056.54,41.15,0.0,Below Target
I00283,R012,2025-07-01,206230.37,85112.06,41.27,0.0,Below Target
I00284,R012,2025-08-01,214511.53,99942.59,46.59,0.0,Below Target
I00285,R012,2025-09-01,184244.47,83215.07,45.17,0.0,Below Target
I00286,R012,2025-10-01,203161.15,78921.78,38.85,0.0,Below Target
I00287,R012,2025-11-01,220132.29,72790.61,33.07,0.0,Below Target
I00288,R012,2025-12-01,233692.5,102474.94,43.85,0.0,Below Target
I00289,R013,2024-01-01,205013.61,82554.01999999999,40.27,0.0,Below Target
I00290,R013,2024-02-01,212021.81,134370.0,63.38,0.0,Below Target
I00291,R013,2024-03-01,235743.45,76834.5,32.59,0.0,Below Target
I00292,R013,2024-04-01,213907.26,100043.29,46.77,0.0,Below Target
I00293,R013,2024-05-01,246353.1,130627.61,53.02,0.0,Below Target
I00294,R013,2024-06-01,234429.35,104842.23,44.72,0.0,Below Target
I00295,R013,2024-07-01,248125.19,99840.32,40.24,0.0,Below Target
I00296,R013,2024-08-01,245023.84,120767.68,49.29,0.0,Below Target
I00297,R013,2024-09-01,229726.16,119004.7,51.8,0.0,Below Target
I00298,R013,2024-10-01,254262.4,107790.98,42.39,0.0,Below Target
I00299,R013,2024-11-01,258594.98,145621.95,56.31,0.0,Below Target
I00300,R013,2024-12-01,286968.39,88188.6,30.73,0.0,Below Target
I00301,R013,2025-01-01,199968.51,78062.45,39.04,0.0,Below Target
I00302,R013,2025-02-01,204105.64,102269.4,50.11,0.0,Below Target
I00303,R013,2025-03-01,225226.9,100156.0,44.47,0.0,Below Target
I00304,R013,2025-04-01,230287.77,110865.37,48.14,0.0,Below Target
I00305,R013,2025-05-01,252051.8,90833.45999999999,36.04,0.0,Below Target
I00306,R013,2025-06-01,241921.7,77468.41,32.02,0.0,Below Target
I00307,R013,2025-07-01,246642.43,122732.4,49.76,0.0,Below Target
I00308,R013,2025-08-01,232592.85,107432.27,46.19,0.0,Below Target
I00309,R013,2025-09-01,237256.26,101567.47,42.81,0.0,Below Target
I00310,R013,2025-10-01,239666.96,116328.93,48.54,0.0,Below Target
I00311,R013,2025-11-01,260381.31,135459.22,52.02,0.0,Below Target
I00312,R013,2025-12-01,265689.16,140645.64,52.94,0.0,Below Target
I00313,R014,2024-01-01,222810.27,79999.48,35.9,0.0,Below Target
I00314,R014,2024-02-01,224460.8,122162.35999999999,54.42,0.0,Below Target
I00315,R014,2024-03-01,248225.94,129369.97,52.12,0.0,Below Target
I00316,R014,2024-04-01,234612.15,144684.2,61.67,0.0,Below Target
I00317,R014,2024-05-01,251926.47,104841.2,41.62,0.0,Below Target
I00318,R014,2024-06-01,257561.0,149284.98,57.96,0.0,Below Target
I00319,R014,2024-07-01,259436.38,92368.77,35.6,0.0,Below Target
I00320,R014,2024-08-01,269803.74,129905.19,48.15,0.0,Below Target
I00321,R014,2024-09-01,248369.84,84044.6,33.84,0.0,Below Target
I00322,R014,2024-10-01,254567.39,89376.20999999999,35.11,0.0,Below Target
I00323,R014,2024-11-01,281973.73,125575.82,44.53,0.0,Below Target
I00324,R014,2024-12-01,312645.35,107599.55,34.42,0.0,Below Target
I00325,R014,2025-01-01,212256.81,93343.25,43.98,0.0,Below Target
I00326,R014,2025-02-01,224693.13,92901.32,41.35,0.0,Below Target
I00327,R014,2025-03-01,239118.98,84281.79,35.25,0.0,Below Target
I00328,R014,2025-04-01,253490.32,118889.34,46.9,0.0,Below Target
I00329,R014,2025-05-01,258965.13,99071.06,38.26,0.0,Below Target
I00330,R014,2025-06-01,257432.68,157434.56,61.16,0.0,Below Target
I00331,R014,2025-07-01,256541.38,84642.61,32.99,0.0,Below Target
I00332,R014,2025-08-01,253685.68,86309.46,34.02,0.0,Below Target
I00333,R014,2025-09-01,253851.58,77516.97,30.54,0.0,Below Target
I00334,R014,2025-10-01,258101.4,136011.08000000002,52.7,0.0,Below Target
I00335,R014,2025-11-01,262212.06,182357.15,69.55,0.0,Below Target
I00336,R014,2025-12-01,289138.7,103177.17,35.68,0.0,Below Target
I00337,R015,2024-01-01,206416.11,85140.18,41.25,0.0,Below Target
I00338,R015,2024-02-01,214336.79,86399.15,40.31,0.0,Below Target
I00339,R015,2024-03-01,234018.18,74080.4,31.66,0.0,Below Target
I00340,R015,2024-04-01,236886.22,91720.64,38.72,0.0,Below Target
I00341,R015,2024-05-01,240614.69,76981.35,31.99,0.0,Below Target
I00342,R015,2024-06-01,235713.87,93911.38,39.84,0.0,Below Target
I00343,R015,2024-07-01,247991.32,112589.34,45.4,0.0,Below Target
I00344,R015,2024-08-01,233590.42,107370.87000000001,45.97,0.0,Below Target
I00345,R015,2024-09-01,233138.97,85929.87,36.86,0.0,Below Target
I00346,R015,2024-10-01,248375.89,110214.53,44.37,0.0,Below Target
I00347,R015,2024-11-01,268219.84,92636.67,34.54,0.0,Below Target
I00348,R015,2024-12-01,282500.99,111641.18000000001,39.52,0.0,Below Target
I00349,R015,2025-01-01,208695.02,109105.98999999999,52.28,0.0,Below Target
I00350,R015,2025-02-01,207768.54,110265.97,53.07,0.0,Below Target
I00351,R015,2025-03-01,213362.19,80247.51,37.61,0.0,Below Target
I00352,R015,2025-04-01,248768.78,95823.44,38.52,0.0,Below Target
I00353,R015,2025-05-01,234690.54,87231.16,37.17,0.0,Below Target
I00354,R015,2025-06-01,244638.64,106268.94,43.44,0.0,Below Target
I00355,R015,2025-07-01,247221.64,91942.02,37.19,0.0,Below Target
I00356,R015,2025-08-01,258406.41,98240.85,38.02,0.0,Below Target
I00357,R015,2025-09-01,243441.49,75441.57,30.99,0.0,Below Target
I00358,R015,2025-10-01,249318.96,109477.14,43.91,0.0,Below Target
I00359,R015,2025-11-01,273667.63,104279.03,38.1,0.0,Below Target
I00360,R015,2025-12-01,266634.95,134990.4,50.63,0.0,Below Target
I00361,R016,2024-01-01,138592.15,47281.94,34.12,0.0,Below Target
I00362,R016,2024-02-01,126428.93,53367.13,42.21,0.0,Below Target
I00363,R016,2024-03-01,153151.01,78565.51,51.3,0.0,Below Target
I00364,R016,2024-04-01,153146.03,77656.26999999999,50.71,0.0,Below Target
I00365,R016,2024-05-01,158877.01,67966.44,42.78,0.0,Below Target
I00366,R016,2024-06-01,171249.55,58165.61,33.97,0.0,Below Target
I00367,R016,2024-07-01,161388.9,65005.35,40.28,0.0,Below Target
I00368,R016,2024-08-01,160206.41,82358.11,51.41,0.0,Below Target
I00369,R016,2024-09-01,149360.27,60308.759999999995,40.38,0.0,Below Target
I00370,R016,2024-10-01,169726.99,90678.81,53.43,0.0,Below Target
I00371,R016,2024-11-01,176482.79,81230.51,46.03,0.0,Below Target
