sale_id,activity_id,rep_id,doctor_id,product_id,sale_date,month,territory,region,units_sold,revenue
S00040,C00040,R003,D0619,P008,2024-01-18,2024-01-01,Jaipur,North,15,5134.05
S00041,C00041,R017,D0425,P001,2024-01-27,2024-01-01,Coimbatore,South,15,10864.82
S00042,C00042,R057,D0841,P007,2024-01-04,2024-01-01,Ahmedabad,West,9,5593.38
S00043,C00043,R057,D0840,P001,2024-01-15,2024-01-01,Ahmedabad,West,29,23359.25
S00044,C00044,R068,D0847,P008,2024-01-18,2024-01-01,Bhubaneswar,East,10,3198.52
S00045,C00045,R057,D0121,P008,2024-01-24,2024-01-01,Ahmedabad,West,22,7545.5
S00046,C00046,R031,D0202,P007,2024-01-16,2024-01-01,Mumbai,West,11,6526.5
S00047,C00047,R014,D0115,P007,2024-01-29,2024-01-01,Chennai,South,19,11349.57
S00048,C00048,R051,D0565,P004,2024-01-26,2024-01-01,Jaipur,North,25,21516.67
S00049,C00049,R049,D0388,P002,2024-01-22,2024-01-01,North Delhi,North,13,7106.19
S00050,C00050,R038,D0602,P008,2024-01-13,2024-01-01,Chennai,South,23,7261.15
S00051,C00051,R047,D0260,P005,2024-01-10,2024-01-01,Ranchi,East,23,11041.44
S00052,C00052,R018,D0135,P007,2024-01-17,2024-01-01,Vijayawada,South,15,8991.01
S00053,C00053,R048,D0520,P006,2024-01-15,2024-01-01,Siliguri,East,13,6575.04
S00054,C00054,R005,D0598,P006,2024-01-01,2024-01-01,Ludhiana,North,20,10328.96
S00055,C00055,R026,D0664,P003,2024-01-08,2024-01-01,Chandigarh,North,19,12052.53
S00056,C00056,R026,D0261,P004,2024-01-26,2024-01-01,Chandigarh,North,13,12188.71
S00057,C00057,R027,D0527,P004,2024-01-15,2024-01-01,Jaipur,North,19,17534.8
S00058,C00058,R056,D0784,P005,2024-01-30,2024-01-01,Pune,West,19,9048.68
S00059,C00059,R053,D0598,P006,2024-01-08,2024-01-01,Ludhiana,North,32,15530.87
S00060,C00060,R061,D0782,P002,2024-01-31,2024-01-01,Bengaluru,South,21,12246.75
S00061,C00061,R050,D0333,P002,2024-01-26,2024-01-01,Chandigarh,North,17,8354.73
S00062,C00062,R029,D0013,P001,2024-01-12,2024-01-01,Ludhiana,North,24,19463.38
S00063,C00063,R045,D0558,P005,2024-01-19,2024-01-01,Patna,East,18,8360.36
S00064,C00064,R036,D0370,P006,2024-01-31,2024-01-01,Goa,West,26,13738.68
S00065,C00065,R052,D0027,P002,2024-01-20,2024-01-01,Lucknow,North,19,10177.7
S00066,C00066,R020,D0273,P006,2024-01-29,2024-01-01,Bhubaneswar,East,14,7189.86
S00067,C00067,R025,D0263,P001,2024-01-04,2024-01-01,North Delhi,North,21,16998.43
S00068,C00068,R032,D0212,P007,2024-01-06,2024-01-01,Pune,West,34,20796.56
S00069,C00069,R028,D0557,P006,2024-01-01,2024-01-01,Lucknow,North,20,10338.3
S00070,C00070,R036,D0539,P006,2024-01-11,2024-01-01,Goa,West,13,6730.67
S00071,C00071,R072,D0289,P006,2024-01-25,2024-01-01,Siliguri,East,10,5673.78
S00072,C00072,R019,D0041,P003,2024-01-30,2024-01-01,Kolkata,East,11,6700.45
S00073,C00073,R012,D0118,P008,2024-01-17,2024-01-01,Goa,West,13,4441.32
S00074,C00074,R042,D0750,P006,2024-01-14,2024-01-01,Vijayawada,South,19,9936.57
S00075,C00075,R002,D0303,P002,2024-01-29,2024-01-01,Chandigarh,North,13,7155.05
S00076,C00076,R025,D0089,P008,2024-01-19,2024-01-01,North Delhi,North,20,6010.99
S00077,C00077,R020,D0646,P006,2024-01-17,2024-01-01,Bhubaneswar,East,13,7030.74
S00078,C00078,R040,D0730,P003,2024-01-03,2024-01-01,Kochi,South,15,9366.74
S00079,C00079,R066,D0074,P008,2024-01-07,2024-01-01,Vijayawada,South,25,8611.52
S00080,C00080,R029,D0828,P002,2024-01-22,2024-01-01,Ludhiana,North,17,8956.17
S00081,C00081,R047,D0578,P006,2024-01-22,2024-01-01,Ranchi,East,13,7136.78
S00082,C00082,R036,D0164,P006,2024-01-16,2024-01-01,Goa,West,22,10853.41
S00083,C00083,R063,D0585,P008,2024-01-22,2024-01-01,Hyderabad,South,28,8566.75
S00084,C00084,R002,D0329,P005,2024-01-22,2024-01-01,Chandigarh,North,14,6426.33
S00085,C00085,R065,D0505,P008,2024-01-03,2024-01-01,Coimbatore,South,26,8033.66
S00086,C00086,R055,D0154,P003,2024-01-26,2024-01-01,Mumbai,West,17,11117.57
S00087,C00087,R015,D0183,P007,2024-01-22,2024-01-01,Hyderabad,South,31,20555.14
S00088,C00088,R033,D0717,P002,2024-01-07,2024-01-01,Ahmedabad,West,27,14215.47
S00089,C00089,R043,D0698,P008,2024-01-07,2024-01-01,Kolkata,East,16,5178.23
S00090,C00090,R070,D0042,P007,2024-01-30,2024-01-01,Guwahati,East,11,7261.9
S00091,C00091,R003,D0177,P006,2024-01-08,2024-01-01,Jaipur,North,21,10866.18
S00092,C00092,R031,D0543,P001,2024-01-02,2024-01-01,Mumbai,West,35,28909.41
S00093,C00093,R023,D0763,P004,2024-01-01,2024-01-01,Ranchi,East,23,21093.93
S00094,C00094,R023,D0519,P002,2024-01-08,2024-01-01,Ranchi,East,26,14778.62
S00095,C00095,R013,D0604,P008,2024-01-20,2024-01-01,Bengaluru,South,10,3197.74
S00096,C00096,R049,D0299,P004,2024-01-15,2024-01-01,North Delhi,North,33,30302.13
S00097,C00097,R035,D0079,P007,2024-01-23,2024-01-01,Nagpur,West,34,22669.85
S00098,C00098,R062,D0653,P008,2024-01-08,2024-01-01,Chennai,South,12,3786.62
S00099,C00099,R028,D0652,P001,2024-01-08,2024-01-01,Lucknow,North,17,13572.32
S00100,C00100,R071,D0340,P007,2024-01-13,2024-01-01,Ranchi,East,13,7681.79
S00101,C00101,R008,D0477,P003,2024-01-25,2024-01-01,Pune,West,23,16006.81
S00102,C00102,R072,D0178,P001,2024-01-16,2024-01-01,Siliguri,East,21,15054.85
S00103,C00103,R031,D0459,P003,2024-01-24,2024-01-01,Mumbai,West,17,11083.05
S00104,C00104,R056,D0257,P005,2024-01-03,2024-01-01,Pune,West,21,10171.17
S00105,C00105,R017,D0452,P007,2024-01-13,2024-01-01,Coimbatore,South,14,8497.02
S00106,C00106,R065,D0083,P006,2024-01-14,2024-01-01,Coimbatore,South,13,6053.46
S00107,C00107,R024,D0493,P002,2024-01-03,2024-01-01,Siliguri,East,27,14055.8
S00108,C00108,R030,D0227,P003,2024-01-10,2024-01-01,Dehradun,North,27,17256.02
S00109,C00109,R027,D0656,P003,2024-01-09,2024-01-01,Jaipur,North,16,11417.82
S00110,C00110,R066,D0405,P006,2024-01-15,2024-01-01,Vijayawada,South,21,11160.49
S00111,C00111,R062,D0752,P005,2024-01-06,2024-01-01,Chennai,South,32,15414.3
S00112,C00112,R030,D0189,P001,2024-01-09,2024-01-01,Dehradun,North,8,5871.48
S00113,C00113,R005,D0236,P001,2024-01-30,2024-01-01,Ludhiana,North,21,16424.03
S00114,C00114,R061,D0150,P001,2024-01-05,2024-01-01,Bengaluru,South,25,21065.54
S00115,C00115,R041,D0505,P008,2024-01-26,2024-01-01,Coimbatore,South,32,10724.05
S00116,C00116,R037,D0036,P005,2024-01-17,2024-01-01,Bengaluru,South,27,12135.22
S00117,C00117,R036,D0624,P004,2024-01-03,2024-01-01,Goa,West,23,21324.64
S00118,C00118,R009,D0765,P007,2024-01-13,2024-01-01,Ahmedabad,West,31,17742.19
S00119,C00119,R072,D0523,P002,2024-01-16,2024-01-01,Siliguri,East,16,8290.89
S00120,C00120,R059,D0093,P001,2024-01-09,2024-01-01,Nagpur,West,15,10627.04
S00121,C00121,R068,D0511,P003,2024-01-09,2024-01-01,Bhubaneswar,East,15,9868.69
S00122,C00122,R032,D0480,P002,2024-01-23,2024-01-01,Pune,West,21,11726.94
S00123,C00123,R024,D0312,P007,2024-01-01,2024-01-01,Siliguri,East,15,8731.49
S00124,C00124,R065,D0462,P007,2024-01-29,2024-01-01,Coimbatore,South,20,12173.81
S00125,C00125,R070,D0637,P006,2024-01-10,2024-01-01,Guwahati,East,41,20083.51
S00126,C00126,R059,D0691,P008,2024-01-12,2024-01-01,Nagpur,West,13,4047.17
S00127,C00127,R066,D0244,P004,2024-01-04,2024-01-01,Vijayawada,South,16,13529.8
S00128,C00128,R050,D0261,P002,2024-01-28,2024-01-01,Chandigarh,North,9,5173.47
S00129,C00129,R063,D0179,P003,2024-01-07,2024-01-01,Hyderabad,South,15,9582.01
S00130,C00130,R061,D0270,P002,2024-01-25,2024-01-01,Bengaluru,South,30,16037.54
S00131,C00131,R021,D0448,P008,2024-01-11,2024-01-01,Patna,East,15,4685.63
S00132,C00132,R011,D0600,P005,2024-01-01,2024-01-01,Nagpur,West,9,4215.34
S00133,C00133,R002,D0239,P007,2024-01-13,2024-01-01,Chandigarh,North,11,7561.91
S00134,C00134,R064,D0309,P003,2024-01-17,2024-01-01,Kochi,South,23,17331.74
S00135,C00135,R046,D0058,P006,2024-01-15,2024-01-01,Guwahati,East,20,10113.32
S00136,C00136,R031,D0144,P003,2024-01-31,2024-01-01,Mumbai,West,18,12157.33
S00137,C00137,R049,D0032,P004,2024-01-17,2024-01-01,North Delhi,North,10,9350.24
S00138,C00138,R052,D0200,P006,2024-01-25,2024-01-01,Lucknow,North,13,7062.95
S00139,C00139,R048,D0523,P008,2024-01-12,2024-01-01,Siliguri,East,22,7281.68
S00140,C00140,R005,D0720,P005,2024-01-05,2024-01-01,Ludhiana,North,18,8759.02
S00141,C00141,R045,D0832,P006,2024-01-16,2024-01-01,Patna,East,18,9392.82
S00142,C00142,R016,D0478,P005,2024-01-18,2024-01-01,Kochi,South,10,4467.01
S00143,C00143,R022,D0392,P004,2024-01-13,2024-01-01,Guwahati,East,15,14118.19
S00144,C00144,R048,D0713,P008,2024-01-24,2024-01-01,Siliguri,East,23,7429.99
S00145,C00145,R038,D0110,P008,2024-01-30,2024-01-01,Chennai,South,37,12068.77
S00146,C00146,R012,D0589,P003,2024-01-03,2024-01-01,Goa,West,31,19127.2
S00147,C00147,R001,D0679,P008,2024-01-03,2024-01-01,North Delhi,North,19,5862.08
S00148,C00148,R018,D0405,P004,2024-01-09,2024-01-01,Vijayawada,South,35,30632.98
S00149,C00149,R014,D0198,P006,2024-01-19,2024-01-01,Chennai,South,38,19941.98
S00150,C00150,R067,D0526,P005,2024-01-02,2024-01-01,Kolkata,East,11,5527.65
S00151,C00151,R010,D0823,P007,2024-01-07,2024-01-01,Surat,West,44,27956.22
S00152,C00152,R029,D0222,P007,2024-01-13,2024-01-01,Ludhiana,North,31,18787.12
S00153,C00153,R055,D0536,P004,2024-01-12,2024-01-01,Mumbai,West,22,18664.06
S00154,C00154,R051,D0071,P006,2024-01-27,2024-01-01,Jaipur,North,23,12492.4
S00155,C00155,R002,D0201,P005,2024-01-17,2024-01-01,Chandigarh,North,11,5153.9
S00156,C00156,R008,D0633,P007,2024-01-28,2024-01-01,Pune,West,22,11307.59
S00157,C00157,R026,D0352,P002,2024-01-24,2024-01-01,Chandigarh,North,12,6834.63
S00158,C00158,R068,D0315,P006,2024-01-13,2024-01-01,Bhubaneswar,East,19,9896.34
S00159,C00159,R027,D0226,P005,2024-01-31,2024-01-01,Jaipur,North,12,4941.12
S00160,C00160,R066,D0074,P004,2024-01-27,2024-01-01,Vijayawada,South,23,21159.93
S00161,C00161,R053,D0720,P003,2024-01-16,2024-01-01,Ludhiana,North,13,8638.55
S00162,C00162,R037,D0782,P006,2024-01-27,2024-01-01,Bengaluru,South,24,11466.31
S00163,C00163,R028,D0126,P003,2024-01-08,2024-01-01,Lucknow,North,18,13121.74
S00164,C00164,R043,D0172,P001,2024-01-07,2024-01-01,Kolkata,East,14,11187.63
S00165,C00165,R001,D0760,P008,2024-01-25,2024-01-01,North Delhi,North,15,4696.02
S00166,C00166,R038,D0752,P004,2024-01-25,2024-01-01,Chennai,South,17,14575.86
S00167,C00167,R051,D0671,P002,2024-01-07,2024-01-01,Jaipur,North,35,18766.7
S00168,C00168,R058,D0542,P002,2024-01-24,2024-01-01,Surat,West,11,5907.79
S00169,C00169,R044,D0722,P007,2024-01-16,2024-01-01,Bhubaneswar,East,19,11952.96
S00170,C00170,R044,D0355,P003,2024-01-18,2024-01-01,Bhubaneswar,East,17,11113.69
S00171,C00171,R015,D0767,P003,2024-01-27,2024-01-01,Hyderabad,South,27,17495.85
S00172,C00172,R063,D0767,P004,2024-01-05,2024-01-01,Hyderabad,South,27,24279.72
S00173,C00173,R070,D0174,P001,2024-01-13,2024-01-01,Guwahati,East,12,9178.83
S00174,C00174,R065,D0046,P005,2024-01-09,2024-01-01,Coimbatore,South,12,5501.61
S00175,C00175,R034,D0362,P001,2024-01-18,2024-01-01,Surat,West,21,17551.85
S00176,C00176,R025,D0672,P007,2024-01-05,2024-01-01,North Delhi,North,15,8951.12
S00177,C00177,R024,D0620,P004,2024-01-04,2024-01-01,Siliguri,East,17,15034.44
S00178,C00178,R008,D0173,P002,2024-01-22,2024-01-01,Pune,West,18,9348.89
S00179,C00179,R050,D0326,P004,2024-01-02,2024-01-01,Chandigarh,North,8,7513.45
S00180,C00180,R055,D0661,P002,2024-01-13,2024-01-01,Mumbai,West,21,10382.03
S00181,C00181,R004,D0045,P003,2024-01-31,2024-01-01,Lucknow,North,15,9488.89
S00182,C00182,R017,D0606,P002,2024-01-31,2024-01-01,Coimbatore,South,16,8948.36
S00183,C00183,R046,D0228,P006,2024-01-06,2024-01-01,Guwahati,East,21,10629.47
S00184,C00184,R019,D0017,P008,2024-01-29,2024-01-01,Kolkata,East,28,9355.5
S00185,C00185,R041,D0323,P004,2024-01-11,2024-01-01,Coimbatore,South,14,12339.67
S00186,C00186,R046,D0590,P001,2024-01-07,2024-01-01,Guwahati,East,13,9799.23
S00187,C00187,R068,D0722,P001,2024-01-16,2024-01-01,Bhubaneswar,East,14,10853.21
S00188,C00188,R019,D0024,P007,2024-01-16,2024-01-01,Kolkata,East,29,16547.51
S00189,C00189,R021,D0311,P003,2024-01-12,2024-01-01,Patna,East,13,8225.75
S00190,C00190,R019,D0140,P003,2024-01-14,2024-01-01,Kolkata,East,23,15872.63
S00191,C00191,R006,D0627,P001,2024-01-04,2024-01-01,Dehradun,North,19,14628.25
S00192,C00192,R003,D0671,P006,2024-01-09,2024-01-01,Jaipur,North,38,19350.71
S00193,C00193,R033,D0840,P001,2024-01-07,2024-01-01,Ahmedabad,West,31,24330.66
S00194,C00194,R028,D0285,P008,2024-01-29,2024-01-01,Lucknow,North,33,9731.87
S00195,C00195,R030,D0254,P002,2024-01-16,2024-01-01,Dehradun,North,11,5477.06
S00196,C00196,R033,D0277,P001,2024-01-17,2024-01-01,Ahmedabad,West,9,7153.94
S00197,C00197,R003,D0667,P006,2024-01-14,2024-01-01,Jaipur,North,17,8492.09
S00198,C00198,R027,D0383,P003,2024-01-28,2024-01-01,Jaipur,North,15,9791.02
S00199,C00199,R013,D0015,P006,2024-01-25,2024-01-01,Bengaluru,South,41,21553.28
S00200,C00200,R034,D0755,P001,2024-01-22,2024-01-01,Surat,West,15,11153.23
S00201,C00201,R033,D0121,P007,2024-01-10,2024-01-01,Ahmedabad,West,25,14817.85
S00202,C00202,R031,D0771,P003,2024-01-10,2024-01-01,Mumbai,West,24,15560.73
S00203,C00203,R063,D0141,P007,2024-01-30,2024-01-01,Hyderabad,South,19,11785.05
S00204,C00204,R009,D0495,P008,2024-01-29,2024-01-01,Ahmedabad,West,17,5342.23
S00205,C00205,R045,D0234,P005,2024-01-09,2024-01-01,Patna,East,21,9354.34
S00206,C00206,R012,D0624,P003,2024-01-11,2024-01-01,Goa,West,25,17897.19
S00207,C00207,R042,D0368,P003,2024-01-11,2024-01-01,Vijayawada,South,30,19839.54
S00208,C00208,R055,D0395,P006,2024-01-25,2024-01-01,Mumbai,West,11,5793.66
S00209,C00209,R023,D0364,P001,2024-01-30,2024-01-01,Ranchi,East,24,17026.47
S00210,C00210,R032,D0817,P002,2024-01-28,2024-01-01,Pune,West,32,16167.05
S00211,C00211,R013,D0150,P006,2024-01-27,2024-01-01,Bengaluru,South,32,16797.93
S00212,C00212,R066,D0195,P001,2024-01-11,2024-01-01,Vijayawada,South,23,17723.89
S00213,C00213,R004,D0045,P003,2024-01-10,2024-01-01,Lucknow,North,26,16828.54
S00214,C00214,R062,D0602,P006,2024-01-28,2024-01-01,Chennai,South,18,8743.75
S00215,C00215,R037,D0601,P003,2024-01-13,2024-01-01,Bengaluru,South,33,22840.98
S00216,C00216,R056,D0517,P008,2024-01-07,2024-01-01,Pune,West,38,12557.88
S00217,C00217,R048,D0026,P008,2024-01-27,2024-01-01,Siliguri,East,17,5422.26
S00218,C00218,R047,D0639,P001,2024-01-15,2024-01-01,Ranchi,East,20,15791.74
S00219,C00219,R064,D0674,P002,2024-01-03,2024-01-01,Kochi,South,48,25524.77
S00220,C00220,R069,D0807,P008,2024-01-28,2024-01-01,Patna,East,10,3090.58
S00221,C00221,R067,D0779,P001,2024-01-10,2024-01-01,Kolkata,East,20,15195.34
S00222,C00222,R040,D0331,P004,2024-01-10,2024-01-01,Kochi,South,13,12012.22
S00223,C00223,R038,D0597,P008,2024-01-17,2024-01-01,Chennai,South,16,5018.98
S00224,C00224,R058,D0238,P005,2024-01-09,2024-01-01,Surat,West,15,6919.8
S00225,C00225,R015,D0494,P003,2024-01-26,2024-01-01,Hyderabad,South,31,20020.59
S00226,C00226,R055,D0350,P001,2024-01-22,2024-01-01,Mumbai,West,25,20416.18
S00227,C00227,R040,D0535,P004,2024-01-18,2024-01-01,Kochi,South,32,27554.18
S00228,C00228,R015,D0814,P005,2024-01-07,2024-01-01,Hyderabad,South,20,9902.46
S00229,C00229,R045,D0503,P001,2024-01-16,2024-01-01,Patna,East,21,15910.35
S00230,C00230,R022,D0802,P005,2024-01-09,2024-01-01,Guwahati,East,9,4021.54
S00231,C00231,R009,D0836,P004,2024-01-30,2024-01-01,Ahmedabad,West,14,13708.12
S00232,C00232,R054,D0136,P003,2024-01-25,2024-01-01,Dehradun,North,12,7497.65
S00233,C00233,R036,D0813,P008,2024-01-04,2024-01-01,Goa,West,26,8304.45
S00234,C00234,R017,D0630,P008,2024-01-17,2024-01-01,Coimbatore,South,14,4706.61
S00235,C00235,R033,D0328,P006,2024-01-25,2024-01-01,Ahmedabad,West,22,10354.12
S00236,C00236,R003,D0594,P005,2024-01-17,2024-01-01,Jaipur,North,22,10250.65
S00237,C00237,R072,D0493,P004,2024-01-04,2024-01-01,Siliguri,East,13,10679.68
S00238,C00238,R059,D0687,P001,2024-01-05,2024-01-01,Nagpur,West,14,10940.0
S00239,C00239,R006,D0708,P003,2024-01-23,2024-01-01,Dehradun,North,10,7271.85
S00240,C00240,R058,D0069,P001,2024-01-17,2024-01-01,Surat,West,20,13766.11
S00241,C00241,R030,D0006,P003,2024-01-17,2024-01-01,Dehradun,North,12,7890.09
S00242,C00242,R062,D0198,P004,2024-01-09,2024-01-01,Chennai,South,33,28702.11
S00243,C00243,R069,D0386,P005,2024-01-09,2024-01-01,Patna,East,10,4368.32
S00244,C00244,R060,D0804,P003,2024-01-13,2024-01-01,Goa,West,14,8533.15
S00245,C00245,R020,D0636,P003,2024-01-17,2024-01-01,Bhubaneswar,East,15,10444.01
S00246,C00246,R022,D0082,P006,2024-01-15,2024-01-01,Guwahati,East,12,6180.51
S00247,C00247,R039,D0563,P002,2024-01-28,2024-01-01,Hyderabad,South,13,6367.54
S00248,C00248,R039,D0374,P002,2024-01-06,2024-01-01,Hyderabad,South,24,12349.91
S00249,C00249,R061,D0266,P006,2024-01-15,2024-01-01,Bengaluru,South,21,10416.11
S00250,C00250,R039,D0585,P005,2024-01-08,2024-01-01,Hyderabad,South,25,10596.51
S00251,C00251,R064,D0335,P007,2024-01-01,2024-01-01,Kochi,South,17,10415.46
S00252,C00252,R035,D0555,P006,2024-01-13,2024-01-01,Nagpur,West,19,9813.58
S00253,C00253,R028,D0186,P008,2024-01-02,2024-01-01,Lucknow,North,31,10039.47
S00254,C00254,R021,D0248,P006,2024-01-12,2024-01-01,Patna,East,9,5053.76
S00255,C00255,R014,D0473,P007,2024-01-20,2024-01-01,Chennai,South,17,9882.19
S00256,C00256,R024,D0493,P002,2024-01-12,2024-01-01,Siliguri,East,15,7908.44
S00257,C00257,R041,D0725,P005,2024-01-22,2024-01-01,Coimbatore,South,24,10749.06
S00258,C00258,R010,D0197,P008,2024-01-10,2024-01-01,Surat,West,14,4671.44
S00259,C00259,R052,D0728,P007,2024-01-13,2024-01-01,Lucknow,North,11,6960.0
S00260,C00260,R051,D0690,P004,2024-01-28,2024-01-01,Jaipur,North,23,19312.72
S00261,C00261,R063,D0235,P008,2024-01-08,2024-01-01,Hyderabad,South,20,6862.45
S00262,C00262,R023,D0101,P003,2024-01-16,2024-01-01,Ranchi,East,25,15750.9
S00263,C00263,R042,D0211,P001,2024-01-23,2024-01-01,Vijayawada,South,21,17079.34
S00264,C00264,R014,D0549,P007,2024-01-12,2024-01-01,Chennai,South,30,19026.12
S00265,C00265,R017,D0617,P004,2024-01-10,2024-01-01,Coimbatore,South,17,15431.08
S00266,C00266,R019,D0526,P001,2024-01-22,2024-01-01,Kolkata,East,19,14575.93
S00267,C00267,R003,D0656,P002,2024-01-03,2024-01-01,Jaipur,North,18,9568.88
S00268,C00268,R022,D0066,P001,2024-01-09,2024-01-01,Guwahati,East,14,11182.77
S00269,C00269,R050,D0375,P008,2024-01-13,2024-01-01,Chandigarh,North,20,6568.43
S00270,C00270,R008,D0697,P007,2024-01-07,2024-01-01,Pune,West,30,18949.24
S00271,C00271,R002,D0326,P008,2024-01-17,2024-01-01,Chandigarh,North,12,3976.31
S00272,C00272,R070,D0796,P002,2024-01-20,2024-01-01,Guwahati,East,20,10984.91
S00273,C00273,R006,D0136,P007,2024-01-30,2024-01-01,Dehradun,North,13,8490.39
S00274,C00274,R057,D0841,P005,2024-01-19,2024-01-01,Ahmedabad,West,9,4015.76
S00275,C00275,R058,D0575,P003,2024-01-19,2024-01-01,Surat,West,21,13889.43
S00276,C00276,R006,D0591,P006,2024-01-23,2024-01-01,Dehradun,North,10,4957.65
S00277,C00277,R001,D0573,P008,2024-01-07,2024-01-01,North Delhi,North,11,3950.08
S00278,C00278,R067,D0779,P004,2024-01-15,2024-01-01,Kolkata,East,22,20328.25
S00279,C00279,R034,D0231,P001,2024-01-26,2024-01-01,Surat,West,15,12292.82
S00280,C00280,R048,D0097,P007,2024-01-06,2024-01-01,Siliguri,East,21,13095.89
S00281,C00281,R043,D0779,P002,2024-01-10,2024-01-01,Kolkata,East,15,8077.14
S00282,C00282,R005,D0090,P002,2024-01-07,2024-01-01,Ludhiana,North,10,6121.1
S00283,C00283,R026,D0662,P005,2024-01-30,2024-01-01,Chandigarh,North,12,5855.48
S00284,C00284,R022,D0176,P007,2024-01-11,2024-01-01,Guwahati,East,15,9003.26
S00285,C00285,R016,D0787,P007,2024-01-11,2024-01-01,Kochi,South,17,10228.96
S00286,C00286,R049,D0849,P007,2024-01-26,2024-01-01,North Delhi,North,16,9868.33
S00287,C00287,R013,D0308,P008,2024-01-29,2024-01-01,Bengaluru,South,26,8095.02
S00288,C00288,R029,D0466,P002,2024-01-01,2024-01-01,Ludhiana,North,16,8489.83
S00289,C00289,R035,D0420,P003,2024-01-28,2024-01-01,Nagpur,West,34,20734.87
S00290,C00290,R024,D0348,P006,2024-01-22,2024-01-01,Siliguri,East,22,9876.18
S00291,C00291,R024,D0729,P004,2024-01-27,2024-01-01,Siliguri,East,19,18581.49
S00292,C00292,R053,D0236,P006,2024-01-03,2024-01-01,Ludhiana,North,23,11433.06
S00293,C00293,R034,D0778,P004,2024-01-02,2024-01-01,Surat,West,19,16652.97
S00294,C00294,R057,D0629,P004,2024-01-11,2024-01-01,Ahmedabad,West,17,15182.23
S00295,C00295,R060,D0813,P001,2024-01-27,2024-01-01,Goa,West,25,20178.59
